青春	名詞,一般,*,*,*,*,青春,セイシュン,セイシュン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
悪	名詞,一般,*,*,*,*,悪,アク,アク
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
…	記号,一般,*,*,*,*,…,…,…
	記号,一般,*,*,*,*,,*,*

	記号,空白,*,*,*,*,
,*,*
	記号,一般,*,*,*,*,,*,*

	記号,空白,*,*,*,*,
,*,*
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
比企	名詞,固有名詞,地域,一般,*,*,比企,ヒキ,ヒキ
ヶ	名詞,一般,*,*,*,*,ヶ,*,*
谷	名詞,一般,*,*,*,*,谷,タニ,タニ
八幡	名詞,*,*,*,*,*,八幡,ハチマン,ハチマン
、	記号,読点,*,*,*,*,、,、,、
総武	名詞,固有名詞,地域,一般,*,*,総武,ソウブ,ソーブ
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー
二	名詞,数,*,*,*,*,二,ニ,ニ
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
趣味	名詞,一般,*,*,*,*,趣味,シュミ,シュミ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
ギター	名詞,一般,*,*,*,*,ギター,ギター,ギター
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
	記号,一般,*,*,*,*,,*,*

	記号,空白,*,*,*,*,
,*,*
ライブハウス	名詞,一般,*,*,*,*,ライブハウス,ライブハウス,ライブハウス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
オーナー	名詞,一般,*,*,*,*,オーナー,オーナー,オーナー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
気	名詞,一般,*,*,*,*,気,キ,キ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
師弟	名詞,一般,*,*,*,*,師弟,シテイ,シテイ
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
、	記号,読点,*,*,*,*,、,、,、
	記号,一般,*,*,*,*,,*,*

	記号,空白,*,*,*,*,
,*,*
小学生	名詞,一般,*,*,*,*,小学生,ショウガクセイ,ショーガクセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
知り合っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,知り合う,シリアッ,シリアッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
以来	名詞,副詞可能,*,*,*,*,以来,イライ,イライ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
、	記号,読点,*,*,*,*,、,、,、
	記号,一般,*,*,*,*,,*,*

	記号,空白,*,*,*,*,
,*,*
部活	名詞,一般,*,*,*,*,部活,ブカツ,ブカツ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
奉仕	名詞,サ変接続,*,*,*,*,奉仕,ホウシ,ホーシ
部	名詞,接尾,一般,*,*,*,部,ブ,ブ
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
謎	名詞,一般,*,*,*,*,謎,ナゾ,ナゾ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
部活	名詞,一般,*,*,*,*,部活,ブカツ,ブカツ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
…	記号,一般,*,*,*,*,…,…,…
	記号,一般,*,*,*,*,,*,*

	記号,空白,*,*,*,*,
,*,*
部員	名詞,一般,*,*,*,*,部員,ブイン,ブイン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
雪ノ下	名詞,*,*,*,*,*,雪ノ下,ユキノシタ,ユキノシタ
雪乃	名詞,固有名詞,人名,名,*,*,雪乃,ユキノ,ユキノ
、	記号,読点,*,*,*,*,、,、,、
由比ヶ浜	名詞,固有名詞,一般,*,*,*,由比ヶ浜,ユイガハマ,ユイガハマ
結衣	名詞,*,*,*,*,*,結衣,ユーイ,ユーイ
、	記号,読点,*,*,*,*,、,、,、
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
なんとも	副詞,一般,*,*,*,*,なんとも,ナントモ,ナントモ
不思議	名詞,形容動詞語幹,*,*,*,*,不思議,フシギ,フシギ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
メンバー	名詞,一般,*,*,*,*,メンバー,メンバー,メンバー
、	記号,読点,*,*,*,*,、,、,、
自己	名詞,一般,*,*,*,*,自己,ジコ,ジコ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おこ	動詞,非自立,*,*,五段・カ行イ音便,未然ウ接続,おく,オコ,オコ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
。	記号,句点,*,*,*,*,。,。,。
	記号,一般,*,*,*,*,,*,*

	記号,空白,*,*,*,*,
,*,*
八幡	名詞,*,*,*,*,*,八幡,ハチマン,ハチマン
「	記号,括弧開,*,*,*,*,「,「,「
今日	名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ
あん	動詞,自立,*,*,五段・ラ行,体言接続特殊,ある,アン,アン
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
？	記号,一般,*,*,*,*,？,？,？
」	記号,括弧閉,*,*,*,*,」,」,」
	記号,一般,*,*,*,*,,*,*

	記号,空白,*,*,*,*,
,*,*
雪乃	名詞,固有名詞,人名,名,*,*,雪乃,ユキノ,ユキノ
「	記号,括弧開,*,*,*,*,「,「,「
特に	副詞,一般,*,*,*,*,特に,トクニ,トクニ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモウ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド
、	記号,読点,*,*,*,*,、,、,、
」	記号,括弧閉,*,*,*,*,」,」,」
	記号,一般,*,*,*,*,,*,*

	記号,空白,*,*,*,*,
,*,*
結衣	名詞,*,*,*,*,*,結衣,ユーイ,ユーイ
「	記号,括弧開,*,*,*,*,「,「,「
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
気	名詞,一般,*,*,*,*,気,キ,キ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
ゆっくり	副詞,助詞類接続,*,*,*,*,ゆっくり,ユックリ,ユックリ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ
！	記号,一般,*,*,*,*,！,！,！
」	記号,括弧閉,*,*,*,*,」,」,」
	記号,一般,*,*,*,*,,*,*

	記号,空白,*,*,*,*,
,*,*
八幡	名詞,*,*,*,*,*,八幡,ハチマン,ハチマン
「	記号,括弧開,*,*,*,*,「,「,「
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
」	記号,括弧閉,*,*,*,*,」,」,」
	記号,一般,*,*,*,*,,*,*

	記号,空白,*,*,*,*,
,*,*
突然	副詞,助詞類接続,*,*,*,*,突然,トツゼン,トツゼン
誰	名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
部室	名詞,一般,*,*,*,*,部室,ブシツ,ブシツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ドア	名詞,一般,*,*,*,*,ドア,ドア,ドア
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
開け	動詞,自立,*,*,一段,連用形,開ける,アケ,アケ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
、	記号,読点,*,*,*,*,、,、,、
ガラガラ	名詞,形容動詞語幹,*,*,*,*,ガラガラ,ガラガラ,ガラガラ
	記号,一般,*,*,*,*,,*,*

	記号,空白,*,*,*,*,
,*,*
？	記号,一般,*,*,*,*,？,？,？
？	記号,一般,*,*,*,*,？,？,？
？	記号,一般,*,*,*,*,？,？,？
「	記号,括弧開,*,*,*,*,「,「,「
雪ノ下	名詞,*,*,*,*,*,雪ノ下,ユキノシタ,ユキノシタ
邪魔	名詞,サ変接続,*,*,*,*,邪魔,ジャマ,ジャマ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ぞ	助詞,終助詞,*,*,*,*,ぞ,ゾ,ゾ
，	記号,読点,*,*,*,*,，,，,，
」	記号,括弧閉,*,*,*,*,」,」,」
	記号,一般,*,*,*,*,,*,*

	記号,空白,*,*,*,*,
,*,*
雪乃	名詞,固有名詞,人名,名,*,*,雪乃,ユキノ,ユキノ
「	記号,括弧開,*,*,*,*,「,「,「
平塚	名詞,固有名詞,組織,*,*,*,平塚,ヒラツカ,ヒラツカ
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ
ノック	名詞,サ変接続,*,*,*,*,ノック,ノック,ノック
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
」	記号,括弧閉,*,*,*,*,」,」,」
	記号,一般,*,*,*,*,,*,*

	記号,空白,*,*,*,*,
,*,*
平塚	名詞,固有名詞,人名,姓,*,*,平塚,ヒラツカ,ヒラツカ
「	記号,括弧開,*,*,*,*,「,「,「
悪い	形容詞,自立,*,*,形容詞・アウオ段,基本形,悪い,ワルイ,ワルイ
悪い	形容詞,自立,*,*,形容詞・アウオ段,基本形,悪い,ワルイ,ワルイ
依頼	名詞,サ変接続,*,*,*,*,依頼,イライ,イライ
人	名詞,接尾,一般,*,*,*,人,ジン,ジン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
連れ	動詞,自立,*,*,一段,連用形,連れる,ツレ,ツレ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
，	記号,読点,*,*,*,*,，,，,，
あと	名詞,一般,*,*,*,*,あと,アト,アト
